"languages","value"
"Chadakolob",0.641602658067245
"Andi",0.533635190875304
"Tad_Magitl",0.39385989388279
"Gakvari",0.595878433736382
"Gigatli",0.400516655856741
"Tindi",0.425566395846444
"Inkhokwari",0.549040773127977
"Kidero",0.501947748974666
"Hinuq",0.486776347538638
"Tladal",0.547076602285565
"Khoshar_Khota",0.51026699172945
"Hunzib",0.577537826920573
"Khosrekh",0.547124727441917
"Chirag",0.568865907922481
"Archi",0.681947046322824
"Dyubek",0.631002480377653
"Kondik",0.764784447532972
"Burshag",0.772861490475893
"Richa",0.748233353130023
"Burkikhan",0.780827980499127
"Fite",0.782841947999866
"Khlyut",0.838371399532771
"Luchek",0.767935186405864
"Mikik",0.69626478896653
"Gelmets",0.689208519664814
"Tsakhur",0.689169624927573
"Kryz",0.732608651661492
"Budugh",0.740089017263292
"Khinalug",0.712697020277036
"Nidzh",0.721086730576169
"Zilo",0.521421288496161
"Tukita",0.516550245276403
